Persona,Lv.,Arcana,Types,Drain,Reflect,Null,Resist,Evade 1,Evade 2,Evade 3,Weak,Type,Stat Bonuses,Natural Skill,Active Abilities,Passive Abilities,Disposition,Reward,STR,MAG,TEC,AGI,VIT,LCK,Pg.,Compendium?
Soulless Relay,11,--,,,,,,,,,,Part,,,"Maomnidyne: Any number of units within the Soulless Relay and one other combat area. On hit: 7d4 (17) damage. This damage can be one of the following Types, chosen once for all targets: Fire, Ice, Nuclear, Dark. 
Soulless Rain: All spaces in Soulless Relay gain the following effect: Any unit that starts or ends its turn in this space lose 20% of their maximum HP as Almighty damage. Each unit can only take damage from Soulless Rain once per round. This lasts for 1d4+1 rounds. ","Short-Circuit (P): Every time the Soulless Relay takes damage, it deals the same amount of damage as Almighty damage to all Users in its combat area for no action cost, with no dodge check. Once the Soulless Relay's HP reaches zero, Oumagatsu loses the ability to perform its second turn for each round. ",,,,,,,,,SSVII-39,FALSE
Susano-O,11,Chariot,"Physical, Wind, Dark",,"Nuclear, Light",,,,,,"Fire, Ice",Icon,"+1 STR, +1 MAG, +1 TEC","Eternal Black (Dark, Wind) – As an Interrupt action, whenever you deal damage through the Curse of a spell you cast, you can spend 1 Aspect Point: Deal that same damage, as Dark damage, to up to two targets within TEC meters, no dodge check. ","Bonecrusher: One target within 9 meters. On hit: 5d10+3 (30) Physical damage. If the target is below 50% HP after damage calculation, Susano-O can cast this spell again as a Free action, once per round. 
Earthly Vortex: All units in combat, except Susano-O. 6d4 (15) Wind damage, no dodge check. 
Deadly Fist: One target within 9 meters. On hit: 5d10 (27) Dark damage, and Susano-O can choose another target in combat: At the start of that target's turn, they take 5d10 (27) Dark damage, no dodge check. ",,Chaotic,Quantum Drift (T3 Misc.) ,5,6,6,1,6,2,SSV-17,FALSE
Thunderbird,11,Sun,"Thunder, Light",,,,"Thunder, Light",,,,Wind,Shadow,"+2 MAG, +1 AGI","Pulse – Whenever you deal Thunder damage, you can choose to deal SKL Thunder damage to any number of units adjacent to you, no dodge check, as a Quick action. ","Jolt (Thunder): Any number of targets in a straight line between Thunderbird and any number of Electric Totems. On hit: MAGd8 (31) Thunder damage. 
Charge (Light): Any number of targets within 3 meters of Thunderbird or within 3 meters of its Electric Totem. On hit: 7d4 (17) Light damage and Thunderbird gains +1 HDC for its next attack. 
Short Circuit (Thunder): One target within 3 meters. -1 HDC. +2 Critical Margin. On hit: 7d12 (45) Thunder damage. Can only be cast if Thunderbird is adjacent to an Electric Totem.  ","Alternate Totem (P): At the start of combat, each Thunderbird creates one Electric Totem in the battlefield, which is treated as a Zenith of Radiance. When a Thunderbird is removed from combat by any means, remove its Electric Totem. Thunderbird may move its own Electric Totem up to TEC meters in any direction as a Quick action. 
Direct Presence (P): At the start of each of its turns, Thunderbird deals MAG (7) Thunder damage to all units adjacent to it, no dodge check.  ",Noble,Electric Chains (T3 Thunder),1,7,5,5,6,2,SSII-18,FALSE
Triglav,11,Chariot,"Physical, Thunder",,PSY,,,,,,Thunder,Shadow,"+1 MAG, +4 Knowledge, +4 Discipline",Trinity – Consider your SKL as +1 to calculate damage for Multi Category spells.,"Rain of Arrows: Up to 2 targets within 4 meters. On hit: 5d6+4 (6d6+4) (21/25) Gun damage.
Divine Spark: 1 target Triglav can see. On hit: 7d4 (17) Thunder damage. ","Null Stun (P): Triglav cannot be Stunned.
Static Tower (P): Each time Triglav takes damage, it has a 40% chance to cast Divine Spark against the unit that dealt it damage, or 100% chance if the damage dealer is Shocked.","Childish, Aggressive",Death Chain (T3 Physical),5,7,5,2,5,2,C-228,FALSE
Urban Terror,11,--,,,Physical,,Light,,,,,Human,,,"Aim: One target Urban Terror can see. Deals 8d10-4 (40) Physical damage. Does not check for dodge. 
Hostage: One adjacent target cannot move from its position. Whenever Urban Terror takes damage, half the damage is dealt to this target instead. These effects last until the end of Urban Terror’s next round. ",,Snobbish,,8,1,8,8,4,2,SSII-17,FALSE
Vivian,11,Lovers,"Ice, Status, Intel",,,,Ice,,,,Thunder,Shadow,"+1 STR, +1 TEC","Red Snow – Targets you’ve dealt damage to this combat cannot escape combat normally. If the target becomes hidden or invisible, you’re still able to pinpoint its location and can declare attacks against it with a -2 TEC penalty.  ","Crunch: One target within 7 meters. On hit: Wendigo moves to an adjacent spot to the target, deals 6d6-3 (18) Physical damage and heals itself for half the damage. 
Excruciating Howl: All combatants. On hit: 6d4 (15) Ice damage and, before damage calculation, if a target’s HP is not 100%, 100% Slowed chance.  ",,"Aggressive, Anthropophagous",Wage War (T2 Status),1,6,7,7,3,2,C-316,FALSE
White Rider,11,Chariot,"Physical, Status, Dark",,Dark,Nuclear,,,,,Ice,Shadow,"+4 Courage, +1 STR, +1 TEC","Conquest – At the end of each combat, heal 20% of your maximum HP.","Condemnation: One target whose HP is below 80% of its maximum value dies immediately. If this spell kills a target, Repress this spell.
Terrifying Visage: Any number of targets within 6 meters have a 60% chance to suffer Fearful.
Guillotine: One target within 10 meters. On hit: 6d10 (33) Physical damage. This spell deals double damage against targets suffering from any Status.",,"Aggressive, Noble",Akasha Arts (T3 Physical),6,1,7,5,6,2,C-233,FALSE
Yasomagatsu,11,--,,,,,,,,,,Part,,,"Soulless Cannon: Up to three targets in one area. On hit: 7d8 (31) Light damage and the target loses 2d2 Luck Charges. 
Magatsu Crush (Intel): All units in the Yasomagatsu area. 20+5TEC% (60%) chance to apply the following effect: Move the unit to an unoccupied space in the Soulless Relay area, then apply Knockdown to that unit. ",,,,,,,,,,SSVII-39,FALSE
Yomotsu-ikusa,11,Hanged Man,"Physical, Ice, Status",,,Dark,,,,,Fire,Shadow,"+1 STR, +1 MAG, +1 AGI","Chaser of Yomi – Once per combat, you can choose one target you can see. Reduce that target’s AGI for movement allowance by half and add the difference to your own movement allowance for the duration of combat.","Crush Fangs: 1 target within 3 meters. On hit: 6d8 (27) Physical damage and Tarundamon (-2 STR, -2 MAG for 3 turns)
Crush Stomach: 1 target within 3 meters. On hit: 6d6 (21) Gun damage, Rakundamon (Fortify Physical & Elements -8 for 3 turns) and 35% Panicked chance.
Crush Legs: 1 target within 3 meters. On hit: 6d4+5 (20) Ice damage and Sukundamon (-2 TEC, -2 AGI for 3 turns)",,"Chaotic, Aggressive",Vile Assault (T3 Physical),6,6,5,4,7,2,C-227,FALSE
Akihiko Sanada & Caesar,12,Emperor,"Physical, Thunder, Debuff",,,Thunder,Physical,,,,,User,,Cyclone – Akihiko’s MAG score cannot be lowered. Akihiko uses MAG instead of STR for all relevant checks. Thunder spells Akihiko casts deal 50% more damage. ,"Wings of Vanth: 1 target within 9 meters. On hit: MAGd12-MAG (49) Physical damage. 
World Breaker: All adjacent targets. -1 HDC. On hit: Deals 100% of target’s HP as Physical damage. 
Gravity: Up to 4 targets within TEC (8) meters. Places all targets in adjacent positions to Akihiko, without checks. Then, cast the following: Any number of adjacent targets. On hit: MAGd4-10 (12/18) Thunder damage and reduces target’s movement allowance to 2 until the end of the next round. ","Auto-Masukundaou (P): Inflicts -2 AGI, -2 TEC to any number of targets for the first 3 rounds of combat. ",,,9,9,8,7,5,2,SSI-22,FALSE
Arcana Hermit,12,Hermit,"Thunder, Dark",Thunder,,,,,,,,Tyrant,,"Arcana of Isolation – If there are no units adjacent to Arcana Hermit at the end of its turn, it gains a second turn this round. This can only activate once per round. ","Charge: Arcana Hermit gains one Voltage Counter. 
Repulsion Field: All Users within 4 meters of Arcana Hermit. On hit: 9d6 (31) Thunder damage and Users must pass a Vitality (7) check, risking allowed. If the User fails the check, they are moved 2d4 spaces away from Arcana Hermit and take extra Thunder damage equal to the amount of spaces moved divided by 2. 
Mamudoon: Any number of Users in combat whose HP is below 30% HP are instantly slain. 
Megido: One target within 5 meters and all units adjacent to that target. On hit: 9d6 (31) Almighty damage.  ","Grounded (P): Arcana Hermit cannot be moved from its position and is immune to effects that denote a space, such as Fire Monk's Trance. 
High Voltage (P): At the start of each round, Arcana Hermit deals 2MAG (18) Thunder damage to all units adjacent to it, no dodge check. ",,,1,9,8,5,6,2,SSVI-50,FALSE
Neko Shogun,12,Star,"Intel, Heal",,,Light,,,,,"Wind, PSY",Shadow,"+1 STR, +1 MAG, +1 VIT, +4 Courage",Divine Grace – Heals 25% more HP from all sources.,"Basic Attack: At the start of combat, roll 1d6 to determine this Shadow’s weapon, which substitutes its basic attack.
1-2: Kataneko: 1 adjacent target. On hit: 6d10 (33) Physical damage. A supremely sharp sword.
3-4: Yumeow: One target within 15 meters. On hit: 6d8 (27) Gun damage. A cute composite bow.
5-6: Gunyanpai: One adjacent target. On hit: 6d8 (27) Physical damage. +1 HDC outside of Neko Shogun’s turn and +1 DDC during Neko Shogun’s turn. A fascinating fan.
Geas: When any Shadow hits a target, Neko Shogun can spend 1 counter to increase the dealt damage by 50%. Ha Diarama: Neko Shogun and one target that can hear it recover (6d8) * 3 (81) HP.
Purring Strategist: Spend 1 counter: Changes the elemental interaction of 1 target against any Type to Neutral.","Sharp Eyes (P): All targets of Neko Shogun’s Geas or Purring Strategist become Analyzed.
Tempest Link (P): When a Shadow attacks an Analyzed target, Neko Shogun can declare a basic attack after its ally’s action as its Interrupt action.
Powerful Perception (P): Gains 3 cognitive counters at the start of each round.","Noble, Snobbish",Vitals Monitor (T3 Intel),6,6,5,6,7,3,C-232,FALSE
"Beelzebub, Host of the Merciless Swarm",12,Devil,"Status, Debuff",,Status,,,,,,,"Merciless, Tyrant",,"Putrid Swarm – Every time a User takes damage while Beelzebub is in combat, there's a 75% chance for that target to suffer the Nervous Status effect Infested. This ignores Status Affinity and causes a -1 STR, MAG, TEC and AGI penalty that stacks with Debuff effects. This Status can be removed like any other Nervous Status.","Wave of Filth (Status): All Users in combat. 15+5TEC (60%) Poisoned chance. Before rolling, apply Status Affinity -1 to each target for this spell. 
Burst: One Infested target loses 30% of their maximum HP as Almighty damage, and spawn one Rotten Swarm in an unoccupied position adjacent to the target, with the same initiative as Beelzebub. 
Plague: One target Beelzebub can see. On hit: Move up to eight Rotten Swarms to adjacent positions to the target. For each Rotten Swarm moved this way, the target loses 10% of their maximum HP as Almighty damage. 
Sea of Filth: All Users in combat. On hit: 2Xd4 Ice damage, where X is the number of Rotten Swarms in combat. If the target is Poisoned, they immediately take Poisoned damage, even if this spell misses. ","Maddening Buzz (P): At the start of each round, Beelzebub gains +1 TEC, +1 AGI for every target suffering from any Status effect in combat. This lasts until Beelzebub is defeated, is not a Buff effect, and stacks with previous activations of itself. 
Overflowing Miasma (P): Status spells cast by Beelzebub are considered Quick actions. ",,,1,1,9,9,9,1,SSVII-44,FALSE
Best Friend,12,--,"Physical, Fire, Status",,,,Gun,,,,Status,Tyrant,,"Curiouser and Curiouser – Best Friend has two turns per round, and does not roll for initiative. Rather, Best Friend's first turn is the first in the initiative queue, and the second turn is last in the queue. Best Friend's position in the initiative queue cannot be changed by any effects. ","Gore: One target. On hit: 9d10 (49) Physical damage. If this puts a target in Death's Door, Best Friend can cast this spell again as a Free action. 
Ravage: All units within 4 meters of Best Friend. On hit: 9d6 (31) Fire damage. If the target is suffering from a Status effect, this spell deals double damage, applied separately from Critical calculation. 
Shred: One target within 4 meters. Best Friend becomes adjacent to this target when casting this spell. On hit: 9d4 (22) Intel Type damage. If this spell hits, all the target's Type interactions become Neutral. This is considered a Condition and can only be removed when combat ends or the User enters Death's Door. ",,,Each User gains 1 Character Level (Added to the default reward for this battle) ,9,1,8,6,6,2,SSV-43,FALSE
Black Rider,12,Star,"Physical, Dark",,,Nuclear,"Light, Dark",,,,,Shadow,"+4 Expression, +4 Charm, +1 STR, +1 AGI","Famine – You can drain an adjacent ally’s Energy, with their consent, to raise yours by the same amount.",Pralaya: Any number of targets within 5 meters. On hit: 7d4+7 (25) Physical damage and 30% Fearful chance.,"Hellish Miasma (P): Debuff and Status effects do not expire naturally or by duration and can only be cured through items or spells as long as this Shadow remains in combat.
Ravenous (P): Any combatant suffering from Debuff or Status effects loses 2 points of Energy at the start of each of its turns.","Insane, Noble","Eigaon (T3 Dark)",7,1,6,7,5,2,C-234,FALSE
Byakko,12,Temperance,Ice,Ice,,,,,,,Dark,Shadow,"+2 MAG, +1 TEC, +1 AGI","Autumn Winds – Once per day, you can call a number before Risking a dice. If the called number is equal to the roll’s result, do not roll the subtraction dice.","Fire Null: One target Byakko can see gains Null Fire for 1 round. This spell can be cast as an Interrupt action.
Bufula: One target within 10 meters. On hit: 7d10 (38/57) Ice damage.
Ha Bufula: 3 targets within 5 meters. On hit: 7d6 (24/36) Ice damage. 100% Stun chance and Weakness to Physic until the start of Byakko’s next turn.",Ice Amp (P): Ice spells this Shadow cast deal 50% more damage.,"Chaotic, Noble",Bufudyne (T3 Ice),4,7,6,7,4,2,C-232,FALSE
Atropoş,12,Fortune,"Thunder, Heal",,,Wind,,,,,Fire,Shadow,"+2 MAG, +2 AGI","A Hair’s Breadth – Once per session, when your HP drops to 0 or lower, you gain an extra turn immediately, with no penalties. After this extra turn, you enter Death’s Door with 2 counters instead of 3.","Unravel: Heals 10% HP to 1 target Atropos can see. Can be cast as an Interrupt action.
The Thread: Two points Atropos can see, both within 8 meters. Targets that cross the space between these two points take 8d4+4 (24) Thunder damage (no save) and restores Atropos’s ability to cast Interrupt actions if she’s already done so this round.","Cut the Line (P): As long as this Shadow remains in combat, Users enter Death’s Door with 1 counter.","Noble, Childish",Discharge (T3 Thunder),1,8,6,7,3,4,C-236,FALSE
Chidori & Medea,12,Hanged Man,,,,,,,,,,User,,"Falling Down – Chidori takes no damage from any attacks, is immune to all Status effects and Death category effects, and cannot be healed by any effects. This skill overrides all other features with similar or opposing effects. At the end of every round, Chidori loses 5 HP. Once Chidori reaches 0 HP, all Blight Coronets disappear and she dies. ","Chained Hatchet: One target within 3 meters. Hit: MAGd10 (50) Physical damage, restore 20HP to one Blight Coronet.
Burning Hate: Chidori summons up to 2 Blight Coronets, placed immediately after Chidori in the initiative queue.
Maragidyne: Any number of targets. On hit: MAGd4 (22) Fire damage.
Mudoon: One target Chidori can see. Instantly kills targets below 45% HP.","Twisting Grudge (P): At the start of combat, Chidori summons two Blight Coronets, mirror images of Medea.",,"Lolita Dress (Armor, 4 RP)",3,9,6,6,1,2,SSI-16,FALSE
Cleopatra,12,Empress,"Light, Status, Buff",,,,"Fire, Ice, Wind, Thunder",,,,"Light, Dark",Shadow,"+4 Charm, +4 Expression, +1 TEC, +1 AGI","Flawless Beauty – If all your Social Skills are the same Tier, you gain +1 Tier for all Social Skill checks. ","Frolic: Any number of targets. Inflicts -2 STR, -2 MAG, Fortify Physical & Elements -8 for 3 rounds (this is a Debuff effect) and 5TEC% (50%) Charmed chance. 
Hamabarion: Deals 40+3TEC% (70%) of the target's current HP as Light damage. If the target is Weak or Neutral against Light, this has a 20% chance to put the target in Death's Door. ","Luster Candy (P): At the start of combat, Cleopatra and all Shadows gain +1 STR, +1 MAG, +1 TEC, +1 AGI, +1 LCK for the next 3 rounds. 
Adaptive Tactics (P): After Cleopatra takes damage she's Weak against, remove the Weakness to that Type and apply Weakness to a different Type (Narrator's choice). ","Devilish, Snobbish",Kougaon (T3 Light),1,3,10,6,6,2,SSIV-18,FALSE
Dagda-α,12,Emperor,"Physical, Ice",,,,"Fire, Ice, Wind, Thunder",,,,Light,Alpha,"+1 STR, +1 MAG, +1 TEC, +1 AGI","Peerless Strength – Up to three times per combat, when you declare a basic attack or Mono spell against a target, you can activate the following effect for no action cost: If your STR or MAG (your choice) is higher than the target's STR or MAG (Narrator's choice), this attack gains +1 HDC. ","Lost Hit: One target within 6 meters. On hit: 5d10+5 (32) Physical damage and move the target up to 6 meters in any direction. 
Lordship Over Mortals: One target Dagda-α can see. On hit: target loses 2 Energy for each meter of distance between the target and Dagda-α 
Denial: One target within 3 meters. On hit: 5d10+3 (30) Ice damage, move the target up to 6 meters in any direction, and reduce the target's movement allowance to 1 until the end of Dagda-α's next turn. ",,"Noble, Friendly",Ice Amp (T3 Ice),5,5,6,6,8,2,SSIV-15,FALSE
Dormarth,12,Aeon,"PSY, Buff, Debuff",,,PSY,Physical,,,,Ice,Shadow,"+2 VIT, +1 STR, +1 MAG",At the Gates – Lower your Energy penalty for entering Death’s Door by 2.,"Binding Voice: Any number of targets within 6 meters. On hit: STRd6 (12) PSY damage and 10TEC% (40%) Shocked chance.
Ruffle (Buff): Any number of targets Dormarth becomes adjacent to during her movement. Dormarth and all targets gain +2 AGI, +2 TEC for 3 rounds.
Static Discharge (Debuff): Any number of targets Dormarth becomes adjacent to during her movement. All targets suffer -2 AGI, -2 TEC for 3 rounds.",,"Flirty, Devilish",Imprint (T3 PSY),5,5,4,4,7,4,C-231,FALSE
Girimekhala,12,Moon,"Physical, Dark, Status",,"Physical, Gun",Dark,,,,,Light,Shadow,"+2 STR, +2 TEC","Ominous Eye – At the start of combat, you may choose one Non-Tyrant target. That target cannot recover HP or be revived by any effects for the duration of combat.","Eye of Pestilence: Any number of targets within 5 meters. On hit: 7d4 (17) Physical damage and TEC*5% (35%) Poisoned chance.
Crush: 1 target whose HP is below 25% dies instantly",,Chaotic,Crushing Force (T3 Status),7,1,7,5,6,2,C-235,FALSE
Jeanne D’Arc,12,Judgement,Heal,,Light,,"Gun, Dark",,,,Fire,Shadow,"+2 VIT, +1 MAG, +4 Courage","Maid of Orleans – Once per day, you may add your Expression Tier (Min. 1) to one of your Combat Skills for the duration of combat. ","Sword of Miracles: On hit, deals X Almighty damage, where X is Jeanne D’Arc’s current HP divided by 10 (minimum 1) 
Penitence: Revives a Shadow defeated during this combat with 50% of its maximum HP and restores MAGd6 (31) HP to any target Jeanne D’Arc can see. ",Pleroma (P): Healing spells that include Jeanne D’Arc as a target restore 50% more HP to all targets. ,Noble,Me Soma (T2 Heal),1,9,5,1,10,2,C-314,FALSE
Kushinada,12,Lovers,"Fire, Intel, Status",,"Light, PSY",,,,,,Status,Shadow,"+1 MAG, +1 TEC, +1 AGI, +4 Charm","Uddokomu – Once per day, you may choose a target. As long as you’re adjacent to an ally, this ally receives -1 DDC and you gain +1 DDC, both against the chosen target. These are not Buff effects.","Incinerate: 1 target within 8 meters. On hit: 7d8 (31) Fire damage. Ignores Resist and treats Null as Resist.
Pulinpaja: One target within 8 meters. 50+5TEC% (85%) Panicked chance.
Blur: Kushinada becomes invisible and cannot be chosen as a target for attacks or spells until she declares a non-movement action.","Hidden in Mist (P): Targets that cannot see Kushinada are incapable of acquiring any information from her through Intel or affect her with any abilities. Upon using Blur, Kushinada loses the Analyzed condition and any counters placed on her.","Flirty, Anthropophagous",Inferno (T3 Fire),1,7,7,7,4,2,C-237,FALSE
Narasimha,12,Strength,"Physical, Light",,,Light,,,,,Fire,Shadow,"+2 STR, +2 TEC","Cleave Immunity – Once per day, you may choose a target and a Type: this target’s interaction with the Type becomes Neutral until the end of the scene.","Deadly Chain: One target and all adjacent targets within 4 meters. On hit: 8d6 (28) Physical damage.
Hamaon: One target Narasimha can see loses 61% of its current HP. ",Sword breaker (P): Shadows that are adjacent to Narasimha gain Resist Physical.,"Aggressive, Friendly",Hamaon (T3 Light),8,1,7,5,5,2,C-236,FALSE
Pabilsag,12,Emperor,"Physical, Dark, Debuff",,,Fire,Nuclear,,,,Ice,Shadow,"+2 STR, +2 TEC","Sagittarius - Grants +1 SKL, +1 TEC for hit and damage rolls for all Bow Weapons.","Circle of the Swamp: Creates an area around Pabilsag with a 5-meter radius. Any number of targets within this area suffers -3 AGI. The circle lasts for 3 rounds.
Constriction: Any number of targets within Circle of the Swamp. On hit: 7d6 (16) Physical damage.
Undertow: One target Pabilsag can see. Kills instantly a target whose HP is below 20%. If the target is within Circle of the Swamp, this spell’s cap is raised to 50%.",,Anthropophagous,"Tarundaou (T3 Debuff)",7,1,7,2,8,4,C-237,FALSE
Pale Rider,12,Death,"Dark, Status",,"Dark, PSY",,,,,,Light,Shadow,"+2 TEC, +2 VIT",Death – All Dark Type spells you cast must hit one extra target. You may choose yourself.,"Pestilence: 1 target. 100% Poisoned chance.
Death’s Scythe: One target within 10 meters dies immediately if its HP is below 90%, or deals 20 points of Dark damage otherwise.","Hyper-Counter (P): 30% chance to retaliate against a Physical spell or basic attack with Death’s Scythe.
Shield of Shadows (P): 50% chance to resist any magic attack. -1 DDC against all spells.",Noble,Mamudoon (T3 Dark),1,1,9,6,8,4,C-234,FALSE
Psyche,12,Heirophant,"Physical, Ice, Wind",,,,,,,,,Icon,"+2 STR, +2 LCK","Cramoisie Papillon (Ice, Wind) – If you cast a Multi Category Ice or Wind spell, you can choose one target within range twice. ","Poison Arrow: One enemy within 3 meters. On hit: 7d10 (38) Physical damage and 45% Poisoned chance. On Critical: Increase the Poisoned chance to 90%. 
Irresistible Advance: One enemy Psyche can see. HDC +1. On hit: Psyche moves to a position adjacent to the target and deals 7d10 (38) Wind damage. 
Solitary Blizzard: All units within 4 meters of Psyche. On hit: 7d6 (24) Ice damage. If there are no Shadows within the range of this spell besides Psyche, this spell deals a guaranteed Critical hit without spending Luck Charges. ",,,Tempest (T3 Wind),7,1,7,1,8,6,SSV-17,FALSE
Rangda,12,Magician,"Physical, Dark, Debuff",,,"Fire, Dark",Nuclear,,,,Ice,Shadow,"+1 AGI, +1 LCK, +4 Expression, +4 Courage","Terrifying Widow – You can grant yourself Expression Tier +2 and Charm Tier -3 for the duration of one Scene, once per day.","Melt Blades (Debuff): The User with the highest STR is forced to use its MAG score as its STR score for 3 turns. This effect is removed if another target is affected by Melt Blades or Harden Nerves.
Harden Nerves (Debuff): The User with the highest MAG is forced to use its STR score as its MAG score for 3 turns. This effect is removed if another target is affected by Melt Blades or Harden Nerves.
Bleed Out: One target within 4 meters. On hit: 7d6+8 (32) Physical damage and instantly kills if the target is below 25% HP.",Shapeless (P): Rangda gains Reflect against one Type of the Narrator’s choice at the start of each round. This effect disappears after an attack of the chosen type is rolled against Rangda until the start of the next round.,"Chaotic, Devilish","Zai Aku Tou Ten (T3 Dark)",7,2,7,8,2,4,C-238,FALSE
Rotten Swarm,12,Devil,,,,,,,,,,Minion,,,"Multiply: One adjacent target. If the target is not Infested: 75% Infested chance. If the target is Infested: Spawn one Rotten Swarm in an unoccupied position adjacent to the target, with the same initiative as that target. 
Pester: One target within 6 meters. Rotten Swarm moves to an adjacent position to the target before rolling to hit. On hit: 5d10 (27) Fire damage and 50% Stunned chance. ","Unsanitary (P): Users adjacent to a Rotten Swarm suffer Status Affinity -1. This stacks if there are more than one Rotten Swarm adjacent to the same User. 
Minuscule (P): +1 DDC against all attacks. Rotten Swarm's movement allowance cannot be decreased by any means. ",,,1,6,5,8,6,1,SSVII-45,FALSE
Seiryu,12,Temperance,"Thunder, Intel, Debuff",,,,Ice,,,,"PSY, Status",Shadow,"+2 TEC, +1 AGI, +4 Knowledge","Trees of Spring – Once per day, you spend 1 Aspect Point to make plants grow, shrink, bloom or wither in the Metaverse.","Magnetize: 1 target within 6 meters. On hit: 6d8+2 (30/37) Thunder damage and applies the following effect: -2 TEC, -2 AGI. Whenever this target is hit by a Thunder spell, deals 3d4 (8) extra Thunder damage to all adjacent targets. This effect lasts for 3 rounds.
Gigantic Aspect: 1 target Seiryu can see suffers -1 HDC until the end of Seiryu’s next turn.",Thunder Boost (P): Thunder spells cast by Seiryu deal 25% more damage.,"Noble, Snobbish",Ha Ziodyne (T3 Thunder),1,6,7,6,5,4,C-235,FALSE
Alraune,13,Aeon,"PSY, Status",,,Status,,,,,Fire,Shadow,"+8 Charm, +8 Empathy","Blood of the Gallows – Each time you defeat a Shadow, place an effect on the space it occupied which grants +1 STR, +1 MAG, +1 TEC, +1 AGI as long as you are standing on it. This is not a Buff effect and lasts until the end of combat, but this effect cannot overlap with other activations of this Natural Skill.","Spores: Any number of targets within 11 meters. 10+5TEC% (65%) Fearful chance.
Toxic Vine: Up to 3 targets Alraune can see. 5+5TEC% (60%) Poisoned chance.
Dark Thorns: One target Alraune can see. On hit: 6d8 (37) PSY damage. If the target is suffering a Status effect, apply the following condition: This target cannot move from its current position by any means, and takes 1d8 (4) PSY damage at the start of each of its turns (no dodge) until they are healed of all their Status effects.","Deep Roots (P): Alraune cannot be moved from its starting position by any effects, and is immune to effects that designate a space or area instead of a target.",Anthropophagous,Psiodyne (T3 PSY),1,6,11,1,8,2,C-245,FALSE
Arahabaki,13,Hermit,"Fire, Buff",,"Physical, PSY",,"Light, Dark",,,,,Shadow,"+2 AGI, +2 VIT",Forgotten Rebellion – Increases the chance to trigger all Counter Category skills of your deck by 10%,"Tetrakarn: Grants Reflect Physical to one ally. This effect is removed after one Physical attack hits the target.
Abyssal Light: 1 target Arahabaki can see. 10TEC (30) Almighty Damage. This attack’s hit roll is always 25.
Firmament: Arahabaki can no longer be moved from its current position, reduces its AGI to 4 and doubles its current and maximum HP. All these effects last until the end of combat or until Firmament is cast again.",Perfect Mirror (P): 75% chance to retaliate against a basic attack or Physical spell with Abyssal Light.,"Chaotic, Noble",Reflect Physical (T3 Misc.),1,1,3,10,10,6,C-242,FALSE
Baal,13,Emperor,"Physical, Wind, Buff",Wind,Nuclear,,"Dark, Light",,,,Physical,Shadow,"+4 Discipline, +4 Expression, +1 STR, +1 MAG","Many Names – You may gain +2 Tiers to any Social Skill to impersonate and use a disguise, once per day.","Massive Fist: One adjacent target. On hit: STRd10 (33) Physical damage and Knockdown.
Garudyne: 1 target within 8 meters. On hit: MAGd10 (33). HDC +2 or Critical Margin +2
Ha Sukukajaou: Up to 2 targets Baal can see: +3 AGI, +3 TEC for 3 rounds.",Opposing Force (P): Critical Margin +2 to Baal and +1 to its allies.,"Noble, Devilish", Revolution (T3 Buff),6,6,7,6,4,6,C-240,FALSE
Baphomet,13,Devil,"Fire, Ice, Thunder",,,Dark,Fire,"Physical, Gun",,,Light,Shadow,"+2 MAG, +1 TEC, +4 Knowledge","Satanachia – When you gain a Character Level that’s a multiple of 3, grant 2 points to one Social Skill of your choice.","Agilao: 1 target within 8 meters. On hit: 9d6+4 (25) Fire damage
Ha Bufula: 3 targets within 7 meters. On hit: 9d4 (22) Ice damage.
Mazionga: Any number of targets. On hit: 9d4-3 (19) Thunder damage and 36% Shocked chance.",,"Devilish, Snobbish",Absolute Zero (T3 Ice),1,9,7,5,5,2,C-241,FALSE
Barong,13,Emperor,"Thunder, Status",,,"Thunder, Light",PSY,,,,"Fire, Wind",Shadow,"+1 MAG, +1 TEC, +4 Discipline, +4 Courage","Prosperous Goodwill – Once per day, you may receive Expression and Charm Tiers +2 until the end of the Scene, but you are forced to speak only the truth and reply to all questions directed at you with sincerity.","Royal Summons: All combatants suffer 15*5TEC% (55%) Enraged chance.
Ziodyne: 1 target within 8 meters. On hit: 8d8-6 (30) Thunder damage and 65% Shocked chance.",Null Poison (P): Barong cannot be inflicted with Poisoned.,Chaotic,Maziodyne (T3 Thunder),1,8,8,6,4,2,C-246,FALSE
Black Frost,13,Fool,"Fire, Ice, Dark",,,Ice,Fire,,,,"Light, Wind",Shadow,"+2 MAG, +2 TEC","Chaotic (and Evil) – You may declare a basic attack or cast a spell aimed at an ally. On hit: you gain +1 MAG, +1 AGI for 3 rounds (the target still takes the damage). This is a Buff effect that stacks with other Buff effects.","Nifl-heee: One target within 10 meters. On hit: 10d6+10 (35/52) Ice damage.
Maragidyne: Any number of targets Black Frost can see. On hit: 10d4 (25) Fire damage.
Mudoon: Instantly kills a target whose HP is below 50% its maximum value.","Frozen Paradise (P): Ice spells cast by Black Frost hit all targets adjacent to the original target.
Ice Amp (P): Ice spells cast by Black Frost deal 50% more damage.","Childish, Aggressive",Fire Amp (T3 Fire),1,10,7,2,7,2,C-239,FALSE
